api_spot_id,receive,type
2735355,0.0,SPOT
3112059,0.0,SPOT
128749,0.0,SPOT
2612816,0.0,SPOT
2657715,0.0,SPOT
128654,0.0,SPOT
1578659,0.0,SPOT
1579613,0.0,SPOT
1579507,0.0,SPOT
1578694,0.0,SPOT
1578811,0.0,SPOT
1578542,0.0,SPOT
1578267,0.0,SPOT
128653,0.0,SPOT
1579747,0.0,SPOT
128657,0.0,SPOT
1578365,0.0,SPOT
2796956,0.0,SPOT
710635,0.0,SPOT
1936343,0.0,SPOT
127696,0.0,SPOT
1578958,0.0,SPOT
1578445,0.0,SPOT
2756141,0.0,SPOT
1977633,0.0,SPOT
128655,0.0,SPOT
128947,0.0,SPOT
3413023,0.0,SPOT
2819594,0.0,SPOT
1578089,0.0,SPOT
2865675,0.0,SPOT
2755874,0.0,SPOT
1955226,0.0,SPOT
1622226,0.0,SPOT
3434750,0.0,SPOT
3425419,0.0,SPOT
2774556,0.0,SPOT
127228,0.0,SPOT
2768217,0.0,SPOT
2987654,0.0,SPOT
2724379,0.0,SPOT
2752130,0.0,SPOT
1604652,0.0,SPOT
2765260,0.0,SPOT
1918965,0.0,SPOT
753801,0.0,SPOT
1956299,0.0,SPOT
750824,0.0,SPOT
126840,0.0,SPOT
598635,0.0,SPOT
2660543,0.0,SPOT
3032819,0.0,SPOT
1955985,0.0,SPOT
2932004,0.0,SPOT
3076572,0.0,SPOT
129070,0.0,SPOT
128980,0.0,SPOT
126288,0.0,SPOT
716313,0.0,SPOT
252566,0.0,SPOT
1627302,0.0,SPOT
1627251,0.0,SPOT
129282,0.0,SPOT
1957342,0.0,SPOT
716538,0.0,SPOT
1957963,0.0,SPOT
294505,0.0,SPOT
2707041,0.0,SPOT
1856950,0.0,SPOT
2737307,0.0,SPOT
128226,0.0,SPOT
3012433,0.0,SPOT
2470361,0.0,SPOT
3515742,0.0,SPOT
2760017,0.0,SPOT
2605330,0.0,SPOT
3450459,0.0,SPOT
129195,0.0,SPOT
2747132,0.0,SPOT
147656,0.0,SPOT
3066223,0.0,SPOT
2761302,0.0,SPOT
2500296,0.0,SPOT
3081424,0.0,SPOT
773075,0.0,SPOT
3385519,0.0,SPOT
3463964,0.0,SPOT
2930839,0.0,SPOT
2763773,0.0,SPOT
1959485,0.0,SPOT
126508,0.0,SPOT
